Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.550189,0.547199,0.558079
Naive,32,0.036575,0.027134,0.046014
Transpose,32,0.070110,0.060854,0.079364
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.551337,0.548429,0.559945
Naive,32,0.036540,0.027060,0.046019
Transpose,32,0.069986,0.060441,0.079529
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.550089,0.547592,0.556476
Naive,32,0.036627,0.027229,0.046025
Transpose,32,0.070189,0.060727,0.079650
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.549529,0.547357,0.554156
Naive,32,0.036473,0.027089,0.045857
Transpose,32,0.070071,0.060490,0.079650
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.550704,0.547247,0.559621
Naive,32,0.131292,0.131056,0.132192
Transpose,32,0.086527,0.086283,0.087160
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.550652,0.548361,0.557314
Sequential,-1,0.549592,0.546412,0.557199
Naive,32,0.132875,0.132536,0.133522
Sequential,-1,0.549039,0.546921,0.555023
Transpose,32,0.087160,0.086430,0.089440
Sequential,-1,0.548592,0.546143,0.555561
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.550685,0.548773,0.557329
Sequential,-1,0.548585,0.545823,0.552911
Naive,32,0.132649,0.132356,0.133496
Sequential,-1,0.548865,0.545239,0.555716
Transpose,32,0.086889,0.086493,0.087343
Sequential,-1,0.551230,0.548891,0.556270
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.549563,0.546678,0.556451
Sequential,-1,0.547597,0.545004,0.555130
Naive,32,0.132611,0.132348,0.133398
Sequential,-1,0.548480,0.545862,0.556059
Transpose,32,0.086831,0.086427,0.087242
Sequential,-1,0.550497,0.547846,0.557490
Sequential,-1,0.549991,0.547030,0.556744
Naive,32,0.131133,0.130894,0.132029
Sequential,-1,0.551011,0.548086,0.559080
Transpose,32,0.086969,0.086650,0.087621
Sequential,-1,0.551379,0.548585,0.559195
Transpose,32,0.077002,0.069812,0.079413
Sequential,-1,0.550762,0.547284,0.560013
Transpose,32,0.086701,0.086169,0.087205
Sequential,-1,0.549996,0.547315,0.556465
Naive,32,0.131177,0.130921,0.132124
Sequential,-1,0.549919,0.547725,0.556104
Naive,32,0.131158,0.130925,0.131937
Sequential,-1,0.550433,0.547046,0.557253
Transpose,32,0.086785,0.086551,0.087473
Sequential,-1,0.550055,0.546922,0.555937
Transpose,32,0.087676,0.087379,0.088174
Sequential,-1,0.548757,0.546362,0.556462
Transpose,32,0.086410,0.086121,0.086967
Sequential,-1,0.550356,0.547282,0.557767
Transpose,32,0.087612,0.087145,0.088310
Sequential,-1,0.549615,0.545956,0.556098
Transpose,32,0.086452,0.086227,0.086941
Sequential,-1,0.566374,0.553346,0.575683
Transpose,32,0.086817,0.086553,0.087312
Sequential,-1,0.550198,0.548127,0.557005
Transpose,32,0.086690,0.086394,0.087406
Sequential,-1,0.549492,0.547690,0.556529
Transpose,32,0.086420,0.086076,0.086988
Sequential,-1,0.550370,0.547572,0.557013
Transpose,32,0.086291,0.085752,0.087423
Sequential,-1,0.547833,0.544455,0.555143
Sequential,-1,0.549440,0.547469,0.556616
Sequential,-1,0.549569,0.546509,0.559347
Sequential,-1,0.558223,0.556310,0.565378
Sequential,-1,0.547625,0.544571,0.555697
Sequential,-1,0.549967,0.547373,0.557006
Sequential,-1,0.547850,0.545268,0.555314
Shmem,32,0.069816,0.060532,0.079099
Sequential,-1,0.548646,0.545670,0.554592
Shmem,32,0.069782,0.060523,0.079040
Sequential,-1,0.548864,0.545730,0.555963
Shmem,32,0.078988,0.078289,0.079686
Sequential,-1,0.550994,0.548102,0.557962
Shmem,32,0.079746,0.079515,0.079974
Sequential,-1,0.550530,0.548340,0.556944
Shmem,32,0.078681,0.077848,0.079513
Sequential,-1,0.550031,0.545177,0.557890
Shmem,32,0.087111,0.086460,0.087761
Sequential,-1,0.551793,0.548688,0.560914
Shmem,32,0.086595,0.085979,0.087210
Sequential,-1,0.547901,0.545664,0.553525
Shmem,32,0.086371,0.085852,0.086889
Sequential,-1,0.549495,0.543829,0.556110
Shmem,32,0.086530,0.086314,0.087325
Sequential,-1,0.548654,0.546234,0.555527
Shmem,32,0.079360,0.078374,0.080347
Sequential,-1,0.550176,0.547767,0.557376
Shmem,32,0.078859,0.077876,0.079841
Sequential,-1,0.551491,0.548586,0.559412
Shmem,32,0.078178,0.077708,0.079901
Sequential,-1,0.550476,0.547256,0.558357
Shmem,32,0.093129,0.092873,0.093885
Sequential,-1,0.549211,0.545379,0.556665
Transpose,32,0.086629,0.086293,0.087218
Sequential,-1,0.549064,0.546169,0.555265
Shmem,32,0.093374,0.093106,0.094330
Sequential,-1,0.548659,0.545583,0.556477
Shmem,32,0.093919,0.093185,0.094469
Sequential,-1,0.549912,0.547411,0.554775
Shmem,32,0.145721,0.145332,0.146665
Sequential,-1,0.549821,0.546240,0.557112
Shmem,32,0.079518,0.079324,0.080472
Sequential,-1,0.550382,0.547365,0.556652
Transpose,32,0.086507,0.086030,0.087129
Sequential,-1,0.551399,0.548277,0.559212
Shmem,32,0.079334,0.078906,0.080535
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.550663,0.548283,0.557833
Naive,32,0.131284,0.131060,0.132115
Naive,64,0.131439,0.131171,0.132351
Naive,128,0.131735,0.131477,0.132471
Naive,256,0.131924,0.131668,0.132744
Naive,512,0.132419,0.132064,0.133331
Naive,1024,0.134542,0.134169,0.135532
Transpose,32,0.086672,0.085981,0.087747
Transpose,64,0.077692,0.077224,0.080055
Transpose,128,0.077213,0.076653,0.080100
Transpose,256,0.077191,0.076467,0.080415
Transpose,512,0.077795,0.077311,0.081434
Transpose,1024,0.078316,0.077951,0.080751
Shmem,32,0.079450,0.079042,0.080677
Shmem,64,0.073688,0.072824,0.079285
Shmem,128,0.073408,0.072452,0.079780
Shmem,256,0.073651,0.072515,0.079542
Shmem,512,0.073732,0.072714,0.079847
Shmem,1024,0.074088,0.073073,0.079830
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.548426,0.546002,0.554941
Naive,32,167796698.668833,0.131062,0.132098,160.932541,214146.137238,998.441219
Naive,64,167796699.099407,0.131128,0.132215,156.164169,214109.659195,998.824835
Naive,128,167796699.526321,0.131536,0.132719,192.642212,215291.500092,1000.016689
Naive,256,167796699.956076,0.131683,0.132848,165.939331,213979.005814,1010.159969
Naive,512,167796700.392189,0.132264,0.133194,160.932541,215421.438217,993.403196
Naive,1024,167796700.824661,0.134352,0.135491,165.939331,215096.235275,1013.995886
Transpose,32,167796701.244502,0.085810,0.087218,0.157833,549.480677,143.372774
Transpose,64,167796701.657632,0.076959,0.079686,0.156879,547.776699,143.186569
Transpose,128,167796702.070368,0.076690,0.080012,0.156403,549.341679,143.407822
Transpose,256,167796702.487755,0.076630,0.080527,0.156164,549.690962,143.275499
Transpose,512,167796702.902160,0.076641,0.081242,0.169039,549.602747,143.289804
Transpose,1024,167796703.324842,0.077678,0.081288,0.153780,549.409389,143.486500
Shmem,32,167796703.744427,0.078922,0.080188,0.160933,547.243118,143.268108
Shmem,64,167796704.156908,0.072631,0.079311,0.187874,546.730280,143.240690
Shmem,128,167796704.569666,0.072163,0.079357,0.160694,546.947241,143.274069
Shmem,256,167796704.983274,0.072216,0.079480,0.157833,548.037529,143.556118
Shmem,512,167796705.396015,0.072340,0.079231,0.160933,546.351671,143.257618
Shmem,1024,167796705.809110,0.073200,0.079631,0.159264,550.566912,143.300056
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.550645,0.547624,0.557802
Naive,32,167796789.281225,0.130948,0.132016,158.309937,213898.897171,1007.597923
Naive,64,167796789.710171,0.131045,0.132169,163.078308,213673.830032,1014.898539
Naive,128,167796790.142872,0.131469,0.132567,164.031982,213556.766510,1004.397392
Naive,256,167796790.578250,0.131576,0.132790,163.793564,213776.588440,1000.646830
Naive,512,167796791.010336,0.133478,0.134749,155.925751,213891.029358,1001.473665
Naive,1024,167796791.444301,0.134287,0.135550,159.263611,214209.079742,989.761353
Transpose,32,167796791.861386,0.085990,0.087045,0.174999,549.431086,143.050194
Transpose,64,167796792.276925,0.077091,0.079891,0.155449,548.765659,143.424273
Transpose,128,167796792.693107,0.076508,0.080099,0.158072,548.876524,143.237591
Transpose,256,167796793.108699,0.076651,0.080401,0.158787,549.486399,143.300295
Transpose,512,167796793.526267,0.076694,0.081087,0.155926,548.869848,143.176556
Transpose,1024,167796793.944926,0.077874,0.080570,0.160217,548.952579,143.292904
Shmem,32,167796794.363977,0.078782,0.080386,0.159740,547.500372,143.163919
Shmem,64,167796794.777132,0.072666,0.079490,0.159025,547.708511,143.289804
Shmem,128,167796795.190305,0.072542,0.079409,0.156641,548.504114,143.468142
Shmem,256,167796795.606976,0.072188,0.079525,0.160217,547.850132,143.258572
Shmem,512,167796796.019764,0.072542,0.079201,0.160933,547.344208,143.502712
Shmem,1024,167796796.436257,0.073018,0.079445,0.159264,546.923161,143.301010
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.550016,0.547767,0.556772
Naive,32,167797738.927790,0.130944,0.132130,0.157356,213.728428,143.423319
Naive,64,167797739.362496,0.131133,0.132356,0.166416,214.517117,143.191099
Naive,128,167797739.792804,0.131290,0.132529,0.159979,214.035034,143.488646
Naive,256,167797740.224841,0.133248,0.134294,0.163794,214.722395,143.390894
Naive,512,167797740.659730,0.132125,0.133209,0.163794,214.192629,143.335581
Naive,1024,167797741.095653,0.135772,0.137086,0.162840,214.964628,143.333435
Transpose,32,167797741.514126,0.086007,0.087583,0.156879,550.555706,143.384695
Transpose,64,167797741.926935,0.077298,0.079882,0.190020,548.567295,142.979622
Transpose,128,167797742.345124,0.076449,0.079674,0.154972,549.032927,143.310070
Transpose,256,167797742.762068,0.076585,0.080150,0.157118,550.127029,143.367052
Transpose,512,167797743.176127,0.076813,0.081176,0.153780,550.493956,143.418550
Transpose,1024,167797743.596282,0.078043,0.081020,0.157118,550.990105,143.255711
Shmem,32,167797744.017761,0.079218,0.080590,0.156879,547.491550,143.340826
Shmem,64,167797744.428039,0.072616,0.079632,0.160933,548.301935,143.519640
Shmem,128,167797744.840268,0.072195,0.079537,0.159025,548.403025,143.431902
Shmem,256,167797745.251637,0.072306,0.079510,0.160456,547.558069,143.234253
Shmem,512,167797745.663292,0.072744,0.079536,0.162125,548.207998,143.491268
Shmem,1024,167797746.073696,0.073216,0.079461,0.155926,548.195839,143.261194
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.548442,0.546018,0.555910
Naive,32,167797818.055111,0.131011,0.132098,1045.056343,214.776993,143.363714
Naive,64,167797818.485487,0.131152,0.132175,1046.122074,214.451075,143.444061
Naive,128,167797818.918579,0.132843,0.134115,1064.288139,214.419127,143.486023
Naive,256,167797819.348429,0.131694,0.132864,1052.051783,213.911772,143.223763
Naive,512,167797819.781130,0.133455,0.134727,1071.624994,213.500261,143.305779
Naive,1024,167797820.210234,0.134224,0.135460,1078.070879,214.941740,143.189669
Transpose,32,167797820.628253,0.086013,0.087188,260.773897,549.052000,143.336296
Transpose,64,167797821.046191,0.077222,0.081609,174.359083,551.716089,143.410206
Transpose,128,167797821.463454,0.076601,0.079903,169.566393,549.857855,143.373966
Transpose,256,167797821.879503,0.077169,0.080543,171.832800,552.020073,143.383741
Transpose,512,167797822.297095,0.076644,0.081246,171.535015,550.088406,143.404484
Transpose,1024,167797822.715573,0.077944,0.081095,182.723522,549.137354,143.406391
Shmem,32,167797823.132712,0.078996,0.080685,192.560434,548.285484,143.422127
Shmem,64,167797823.542870,0.072677,0.079392,135.384560,547.680855,143.477201
Shmem,128,167797823.955176,0.072525,0.079363,131.529093,548.515797,143.172979
Shmem,256,167797824.367180,0.072390,0.079251,131.694317,547.268152,143.300533
Shmem,512,167797824.779274,0.072525,0.079518,134.621859,547.852516,143.251419
Shmem,1024,167797825.191429,0.073268,0.079557,138.902903,549.776077,143.304825
